corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
0,jbda-agematsutown-agematu,上松町,JP,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,ok,8431,99734b8dba4206c54ae4803c1aa8f85f16093d7029721faa9d97b003a914e73c,completed,1,67,0.0,7728,completed,0,873,5,1.99,314720,0.245915843
1,jbda-aichi-miyoshicity-sansanbus,みよし市,JP,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,ok,60466,55584d24d737c1cadb1f1fed6d54bea51869cab5803a4d1bf72382b62073af94,completed,1,145,0.01,9876,completed,0,3222,6,2.18,343436,0.323915514
2,jbda-akashicity-tacobustacobusmini,明石市,JP,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,ok,178097,6d1e609a802e8a23958c1954f9c3f492779184136b1c3e6f29fc3e1015b1fecf,completed,1,219,0.04,12876,completed,0,10750,5,6.76,355808,0.98167895
3,jbda-aketetsu-akechirailway,明知鉄道,JP,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,ok,6542,8eb76aa42a3e241eb67cf9be28db16d0f15af49c9bfe66760a9cdb813797d803,completed,1,75,0.0,7940,completed,0,382,5,5.95,321320,0.424234535
4,jbda-akicity-GTFS-Akicity_Bus,安芸市,JP,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,ok,120358,4fc4da39376c7993b7e59bc9e8db821b3e15e633364d56cc5681c5a016c24530,completed,1,147,0.02,11984,completed,0,968,5,4.92,329552,0.612745345
5,jbda-akocity-teijuurou,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,ok,11804,b6eac36b62885de54724887047ce21a5231373f5d0deed032287047c9a790743,completed,1,61,0.0,8272,completed,0,444,3,5.15,326080,0.429466535
6,jbda-akocity-yuranosuke,赤穂市,JP,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,ok,22514,99ac8610273f13dc27ff5c54b3ef71def298b2a293c1f0ab3ab892814bf93117,completed,1,118,0.0,9276,completed,0,1413,4,3.65,334848,0.293388845
7,jbda-amacity-amashijunkaibasu,あま市,JP,https://files.mobilitydatabase.org/jbda-amacity-amashijunkaibasu/latest.zip,ok,22326,dc121f9f328ea2a27f20d31c28c341b07f73af6ce5a0c838acaba625cb0e5428,completed,1,223,0.01,8636,completed,0,584,5,3.13,324252,0.397289333
8,jbda-amagikankobus-AmagiKankoBus,株式会社甘木観光バス,JP,https://files.mobilitydatabase.org/jbda-amagikankobus-AmagiKankoBus/latest.zip,ok,51408,4383dae21fb3da3def6a3e96936178f7a2aa245ababf98f10c8e6b255975c713,completed,1,318,0.01,9896,completed,0,6,2,5.27,333392,0.553793763
9,jbda-andotown-andocombus,安堵町,JP,https://files.mobilitydatabase.org/jbda-andotown-andocombus/latest.zip,ok,11040,c920ec2cb8673772a7a1cd4eab9fe42c9c056ec95307139478d1513255a8a5a2,completed,1,125,0.0,9060,completed,0,1689,9,6.52,319844,0.516917584
10,jbda-anjocity-AnkuruBus,安城市,JP,https://files.mobilitydatabase.org/jbda-anjocity-AnkuruBus/latest.zip,ok,61036,13e78b21c63ff9fc25c4a16f0caea2dd051fc3c0c0f4085591f7699f0b1b3482,completed,1,250,0.02,10772,completed,0,3202,6,6.02,356512,0.656407166
11,jbda-annakacity-annakashi-rosenbus,安中市,JP,https://files.mobilitydatabase.org/jbda-annakacity-annakashi-rosenbus/latest.zip,ok,85000,9977c46c8d03c473f584535df103977f6c2ee25daa6abfe84307a45eb6b171a5,completed,1,148,0.02,10000,completed,0,2593,5,6.0,356596,0.792294693
12,jbda-aoi-komaki-aoikotsu,あおい交通,JP,https://files.mobilitydatabase.org/jbda-aoi-komaki-aoikotsu/latest.zip,ok,47888,1534c30bc16a1b3de04cf13d7b96126a801a414e1fe3f53510d937f08f0cba25,completed,1,256,0.02,11032,completed,0,3808,3,4.58,320336,0.563782733
13,jbda-aokivillage-aokisoneibus,青木村,JP,https://files.mobilitydatabase.org/jbda-aokivillage-aokisoneibus/latest.zip,ok,8700,313a286a2130495539e7393e490ddded94319cee649fd7ca16221bf54a4fd6a3,completed,1,102,0.0,7940,completed,0,426,5,5.39,328096,0.504717963
14,jbda-arakawacity-sakura,荒川区,JP,https://files.mobilitydatabase.org/jbda-arakawacity-sakura/latest.zip,ok,12154,9d4336d0d39341f732ab3a70eb4febc38ca82f1c2a62863bfa57770bef9e08b0,completed,1,89,0.0,7948,completed,0,727,6,5.17,328620,0.434950367
15,jbda-aridagawatown-aridagawatownbus,有田川町,JP,https://files.mobilitydatabase.org/jbda-aridagawatown-aridagawatownbus/latest.zip,ok,90096,34894d1d86bd4d9435e1bdd58fadb9d3d59041c94dd9367d5438e417158fdb04,completed,1,226,0.02,10516,completed,0,601,7,5.0,337380,0.570205157
16,jbda-asatetu-asakaigantetsudo,阿佐海岸鉄道株式会社,JP,https://files.mobilitydatabase.org/jbda-asatetu-asakaigantetsudo/latest.zip,ok,34395,d6c150065303d90885551d9a78449946a816ed308e40cd57d3243a7a4a2830f8,completed,1,84,0.01,8280,completed,0,445,5,5.11,338304,0.489801314
17,jbda-ashikagacity-Ashikaga-route-bus,足利市,JP,https://files.mobilitydatabase.org/jbda-ashikagacity-Ashikaga-route-bus/latest.zip,ok,388801,d329d0ba4d94cd11720d1cf00625a5aaa584eb594527696b1a2add1a2cad5660,completed,1,267,0.07,15396,completed,0,2774,7,3.69,333604,0.863673411
18,jbda-ashiyatown-AshiyaTownBus,芦屋町,JP,https://files.mobilitydatabase.org/jbda-ashiyatown-AshiyaTownBus/latest.zip,ok,31309,8148c57b6f0837d776aa3b6ef59df23714baf5965d07dba2ed2ca5b72655c0d4,completed,1,205,0.01,10844,completed,0,3880,4,4.11,347324,0.426489008
19,jbda-awajicity-awaji-jenova-line-akashi-iwaya,淡路市,JP,https://files.mobilitydatabase.org/jbda-awajicity-awaji-jenova-line-akashi-iwaya/latest.zip,ok,9786,594b9e57717469f65934d40bf28dd5dfc2cbc5e9c596c03f6e7481b0bdff8cd7,completed,1,191,0.0,8444,completed,0,1307,5,3.74,323980,0.275339021
20,jbda-awajicity-awajinawahimebus,淡路市,JP,https://files.mobilitydatabase.org/jbda-awajicity-awajinawahimebus/latest.zip,ok,64719,2a92c9e2ccea77e93b5171e48298c8360ff5f96826c209035c717e14ace439ea,completed,1,587,0.02,10632,completed,0,7138,8,6.09,345040,0.595926978
21,jbda-busnet-tsu-guruttotsubus,バスネット津,JP,https://files.mobilitydatabase.org/jbda-busnet-tsu-guruttotsubus/latest.zip,ok,6856,fd82378c46cf0ad7b397c2df1ef42ebce43aef9c9323747dfdc1e18d872a2e2c,completed,1,60,0.0,7712,completed,0,273,6,3.98,324432,0.285173918
22,jbda-buzencity-BuzenCityBus,豊前市,JP,https://files.mobilitydatabase.org/jbda-buzencity-BuzenCityBus/latest.zip,ok,360196,e9a397eec5fb189c050bf60f35864af4bc4ab27c0c86a82e5561bab11edd8302,completed,1,80,0.12,22216,completed,0,47941,4,10.35,770536,1.389707113
23,jbda-chigasakicity-eboshigou,茅ヶ崎市,JP,https://files.mobilitydatabase.org/jbda-chigasakicity-eboshigou/latest.zip,ok,26198,a2f742d9d6e509f90ff21dd168d21bcf20c6a94fd08959385a489126ac5ff5d8,completed,1,150,0.01,9736,completed,0,2613,4,7.86,342624,0.587904776
24,jbda-chikugocity-HainuzukaStationAreaLoopBus,筑後市,JP,https://files.mobilitydatabase.org/jbda-chikugocity-HainuzukaStationAreaLoopBus/latest.zip,ok,25487,6177915f5fb9aa88cbae1b9b3ebc1b6bfa0ea0ca434ecad30d631fc560e681c5,completed,1,113,0.01,8440,completed,0,1046,4,2.9,263676,0.432349341
25,jbda-chikujotown-ChikujoTownCommunityBus,築上町,JP,https://files.mobilitydatabase.org/jbda-chikujotown-ChikujoTownCommunityBus/latest.zip,ok,245103,303fe175458cebdeb188aa4adfc3a727408a530363336f8959d7febc148d2510,completed,1,73,0.05,12864,completed,0,32184,4,8.04,576340,1.008256856
