priority,type,feed_id,provider,country,md_code,md_severity,md_count,mapped_analyzer_rules,analyzer_mapped_count,analyzer_rule,analyzer_class,analyzer_severity,analyzer_count,analyzer_state,md_state,url
110,validator_state_asymmetry,mdb-1186,Петербургский метрополитен - Petersburg Metro,RU,,,,,,,,,,completed,partial_internal,https://files.mobilitydatabase.org/mdb-1186/latest.zip
110,validator_state_asymmetry,mdb-1960,"Harare Kombis, City Shuttle",ZW,,,,,,,,,,completed,no_report,https://files.mobilitydatabase.org/mdb-1960/latest.zip
110,validator_state_asymmetry,mdb-2607,Aomori City Bus,JP,,,,,,,,,,completed,partial_internal,https://files.mobilitydatabase.org/mdb-2607/latest.zip
110,validator_state_asymmetry,mdb-2867,Indian Railways,IN,,,,,,,,,,completed,partial_internal,https://files.mobilitydatabase.org/mdb-2867/latest.zip
110,validator_state_asymmetry,mdb-3215,DELFI Germany-wide scheduled timetable data (GTFS),DE,,,,,,,,,,completed,timeout,https://files.mobilitydatabase.org/mdb-3215/latest.zip
110,validator_state_asymmetry,mdb-357,Atlantic Regional Commission,US,,,,,,,,,,completed,partial_internal,https://files.mobilitydatabase.org/mdb-357/latest.zip
110,validator_state_asymmetry,mdb-784,Rursee-Schifffahrt KG,DE,,,,,,,,,,completed,timeout,https://files.mobilitydatabase.org/mdb-784/latest.zip
110,validator_state_asymmetry,tdg-81618,Syndicat Mixte des Mobilités de l'Aire Grenobloise,FR,,,,,,,,,,completed,partial_internal,https://files.mobilitydatabase.org/tdg-81618/latest.zip
110,validator_state_asymmetry,tdg-83019,VITRE COMMUNAUTE,FR,,,,,,,,,,completed,no_report,https://files.mobilitydatabase.org/tdg-83019/latest.zip
105,md_mapped_missing,mdb-1003,TRAM Barcelona (Tranvía Metropolitano Barcelona),ES,invalid_date,ERROR,5,CAL_003|CAL_004,0,,,,,,,https://files.mobilitydatabase.org/mdb-1003/latest.zip
105,md_mapped_missing,mdb-1003,TRAM Barcelona (Tranvía Metropolitano Barcelona),ES,invalid_float,ERROR,4,SHP_002|SHP_003,0,,,,,,,https://files.mobilitydatabase.org/mdb-1003/latest.zip
105,md_mapped_missing,mdb-1003,TRAM Barcelona (Tranvía Metropolitano Barcelona),ES,invalid_integer,ERROR,11,CAL_002,0,,,,,,,https://files.mobilitydatabase.org/mdb-1003/latest.zip
