id,mevcut_sınıf,mevcut_severity,R1_mi,önerilen_sınıf,authority_source,confidence,spec_anchor,normatif_ibare,gerekçe,notlar
AGN_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency.txt dosyası eksik
AGN_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_name eksik
AGN_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_url eksik veya geçersiz
AGN_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_timezone eksik veya geçersiz
AGN_006,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_lang geçersiz
AGN_008,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_fare_url geçersiz
AGN_009,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_email geçersiz
AGN_010,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id yineleniyor
AGN_011,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Birden fazla kuruluşta agency_id yok
AGN_014,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Birden fazla kuruluş var ama agency.txt'de agency_id eksik
ARC_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),ZIP arşivi açılamadı
ARC_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Dosya UTF-8 ile okunamıyor
ARC_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Zorunlu dosya eksik
ARC_008,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Takvim dosyası eksik (calendar.txt ve calendar_dates.txt)
ARC_009,Spec,Kritik,EVET,Spec,GTFS_SPEC,MEDIUM,#dataset_files,Required dosya boş olamaz (koşullu),"Zorunlu dosyada satır yoksa Spec; opsiyonel dosyada değil — koşullu, kartı incele",Dosyada veri satırı yok
ARC_012,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Satır sütun sayısı başlıkla uyuşmuyor
ARC_013,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),CSV ayrıştırma hatası
ARC_015,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Yinelenen başlık sütunu
ARC_019,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Başlıkta boş sütun adı
ARC_023,Spec,Orta,hayır,Quality,PROJECT_QUALITY,MEDIUM,—,yok,Nested ZIP spec'te açıkça yasaklı değil; parser uyumu → kalite/interop,ZIP içinde nested ZIP dosyası — GTFS formatında desteklenmez
ARC_024,Spec,Orta,hayır,Interop,MOBILITYDATA_PARITY,MEDIUM,—,yok,"Alt-dizin .txt: spec açık norm yok; ""standart parser atlar"" = interop",GTFS .txt dosyası ZIP içinde alt dizinde — standart parser'lar tarafından atlanır
ARC_025,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Zorunlu sütun başlıkta hiç yok (header'da eksik)
ARC_029,Spec,Kritik,EVET,Quality,PROJECT_QUALITY,LOW,—,yok,"Zip-bomb koruması proje-özel güvenlik kontrolü; GTFS normu DEĞİL (fatal guard, sınıfı tartışılmalı)",Sıkıştırma koruması: arşiv zip-bomb sınırını aştı
ARS_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#areastxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),area_id yineleniyor
ATR_001,Spec,Yuksek,hayır,Quality,PROJECT_QUALITY,LOW,#attributionstxt,yok,"attribution_id spec'te Optional — ""eksik"" Spec ihlali olamaz; kartı incele",attribution_id eksik
ATR_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#attributionstxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),organization_name eksik
ATR_003,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#attributionstxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Attribution rolü tanımlanmamış
ATR_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_producer geçersiz
ATR_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_operator geçersiz
ATR_006,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_authority geçersiz
ATR_007,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),attribution_url geçersiz
