feed,md_code,md_count,md_severity,our_rule,our_count,our_severity,our_class,agg,ratio,status,md_samples
mdb-1292,expired_calendar,1,WARNING,CAL_013,4,INFO,ANALYTICS,AGG,4.00,OVER,"{""csvRowNumber"": 15, ""serviceId"": ""14""}"
mdb-1831,number_out_of_range,555,ERROR,PTH_007|STP_016|STP_019|SHP_002|SHP_003|RCT_004,2317,MEDIUM|LOW,QUALITY,,4.17,OVER,"{""filename"": ""frequencies.txt"", ""csvRowNumber"": 7789, ""fieldName"": ""headway_secs"", ""fieldType"": ""positive integer"", ""fieldValue"": 0} | {""filename"": ""frequencies.txt"", ""csvRowNumber"": 7796, ""fieldName"": ""headway_secs"", ""fieldType"": ""positive integer"", ""fieldValue"": 0} | {""filename"": ""frequencies.txt"", ""csvRowNumber"": 7797, ""fieldName"": ""headway_secs"", ""fieldType"": ""positive integer"", ""fieldValue"": 0}"
mdb-2018,missing_recommended_file,1,WARNING,ARC_020,0,,,,0.00,MISS,"{""filename"": ""feed_info.txt""}"
mdb-2329,big_gap_in_service,1,INFO,CAL_007|CAL_012,6,MEDIUM|INFO,ANALYTICS,AGG,6.00,OVER,"{""serviceId"": ""NSN00_F_20250101_20270126"", ""gapStartDate"": ""2026-12-18"", ""gapEndDate"": ""2027-01-08"", ""gapDurationDays"": 20}"
mdb-2933,number_out_of_range,2,ERROR,PTH_007|STP_016|STP_019|SHP_002|SHP_003|RCT_004,918,MEDIUM|MEDIUM|LOW,QUALITY|SPEC,,459.00,OVER,"{""filename"": ""pathways.txt"", ""csvRowNumber"": 1522, ""fieldName"": ""traversal_time"", ""fieldType"": ""positive integer"", ""fieldValue"": 0} | {""filename"": ""pathways.txt"", ""csvRowNumber"": 1800, ""fieldName"": ""traversal_time"", ""fieldType"": ""positive integer"", ""fieldValue"": 0}"
mdb-3132,expired_calendar,13,WARNING,CAL_013,41,INFO,ANALYTICS,AGG,3.15,OVER,"{""csvRowNumber"": 33, ""serviceId"": ""32""} | {""csvRowNumber"": 34, ""serviceId"": ""33""} | {""csvRowNumber"": 38, ""serviceId"": ""37""}"
mdb-3154,expired_calendar,1,WARNING,CAL_013,3,INFO,ANALYTICS,AGG,3.00,OVER,"{""csvRowNumber"": 3, ""serviceId"": ""8""}"
mdb-3175,unknown_column,6,INFO,ARC_017,2,INFO,QUALITY,,0.33,UNDER,"{""filename"": ""attributions.txt"", ""fieldName"": ""is_data_source"", ""index"": 9} | {""filename"": ""routes.txt"", ""fieldName"": ""jp_parent_route_id"", ""index"": 10} | {""filename"": ""trips.txt"", ""fieldName"": ""jp_trip_desc"", ""index"": 11}"
mdb-3235,missing_feed_contact_email_and_url,10,WARNING,FIN_018,0,,,,0.00,MISS,"{""csvRowNumber"": 7} | {""csvRowNumber"": 9} | {""csvRowNumber"": 11}"
mdb-725,expired_calendar,1,WARNING,CAL_013,3,INFO,ANALYTICS,AGG,3.00,OVER,"{""csvRowNumber"": 2, ""serviceId"": ""3_merged_2504072""}"
