rule_id,severity,rule_class,feeds_triggered,feeds_pct,total_notices,median_per_triggered_feed,max_in_one_feed,max_feed
STM_056,CRITICAL,SPEC,11,4.5,3973143,361194.8,3763204,mdb-2904
CAL_024,LOW,QUALITY,155,64.0,682921,4405.9,486465,mdb-2904
DQ_018,MEDIUM,QUALITY,164,67.8,645533,3936.2,177292,mdb-1294
STM_036,INFO,QUALITY,31,12.8,585371,18882.9,181507,mdb-3358
STM_025,INFO,ANALYTICS,53,21.9,434667,8201.3,351665,mdb-2519
TRP_015,LOW,QUALITY,38,15.7,347939,9156.3,198842,mdb-990
ARC_012,CRITICAL,SPEC,5,2.1,302886,60577.2,301656,mdb-884
CAL_011,LOW,QUALITY,36,14.9,297612,8267.0,219514,mdb-2904
CAL_010,MEDIUM,ANALYTICS,105,43.4,296447,2823.3,143440,mdb-2904
DQ_021,HIGH,SPEC,7,2.9,289369,41338.4,282208,mdb-2837
STM_026,HIGH,QUALITY,45,18.6,288085,6401.9,176330,mdb-2904
SHP_025,MEDIUM,QUALITY,10,4.1,269026,26902.6,208509,mdb-2027
STM_035,INFO,ANALYTICS,21,8.7,231003,11000.1,170973,mdb-1229
STM_053,MEDIUM,QUALITY,86,35.5,203495,2366.2,67229,mdb-2027
TRP_014,INFO,QUALITY,15,6.2,193126,12875.1,57567,mdb-3235
STM_012,HIGH,INTEROP,37,15.3,182463,4931.4,170839,mdb-2904
STM_032,LOW,SPEC,3,1.2,171069,57023.0,170885,mdb-1229
STM_021,HIGH,QUALITY,20,8.3,149221,7461.1,145983,mdb-2904
STM_013,HIGH,QUALITY,13,5.4,146835,11295.0,79797,mdb-1924
GGL_001,LOW,INTEROP,3,1.2,132935,44311.7,132855,mdb-2898
VAT_002,INFO,ANALYTICS,157,64.9,132055,841.1,15927,mdb-2519
OPR_012,MEDIUM,ANALYTICS,111,45.9,128638,1158.9,46766,mdb-2904
OPR_007,INFO,ANALYTICS,103,42.6,127046,1233.5,29742,mdb-2904
OPR_008,HIGH,ANALYTICS,77,31.8,101172,1313.9,45165,mdb-2519
CAL_006,INFO,QUALITY,41,16.9,96589,2355.8,48175,mdb-686
STP_020,MEDIUM,ANALYTICS,78,32.2,80386,1030.6,17816,mdb-3153
OPR_017,MEDIUM,ANALYTICS,30,12.4,75916,2530.5,25565,mdb-2898
DQ_004,INFO,QUALITY,188,77.7,75178,399.9,10074,mdb-2867
VAT_003,LOW,ANALYTICS,149,61.6,71336,478.8,7233,mdb-2898
DQ_003,INFO,QUALITY,219,90.5,63475,289.8,10074,mdb-2867
CAL_008,HIGH,ANALYTICS,50,20.7,62716,1254.3,43133,mdb-2519
TRP_020,INFO,ANALYTICS,53,21.9,48665,918.2,18132,mdb-3221
STM_045,MEDIUM,QUALITY,79,32.6,39764,503.3,15772,mdb-2922
TRP_026,MEDIUM,ANALYTICS,12,5.0,39454,3287.8,28749,mdb-2519
OPR_013,INFO,ANALYTICS,150,62.0,30912,206.1,10074,mdb-2867
RTS_017,INFO,QUALITY,54,22.3,28253,523.2,8397,mdb-2904
TRN_002,CRITICAL,SPEC,3,1.2,23049,7683.0,21425,mdb-2933
CAL_007,MEDIUM,ANALYTICS,70,28.9,22839,326.3,7138,mdb-2898
OPR_009,INFO,ANALYTICS,165,68.2,21512,130.4,2500,mdb-2519
TRN_001,CRITICAL,SPEC,2,0.8,21439,10719.5,21425,mdb-2933
CAL_021,INFO,ANALYTICS,30,12.4,21248,708.3,15035,mdb-2898
STP_039,LOW,QUALITY,28,11.6,19586,699.5,5207,mdb-1276
TRP_013,LOW,QUALITY,87,36.0,19394,222.9,10074,mdb-2867
STM_020,HIGH,QUALITY,16,6.6,18338,1146.1,16795,mdb-2519
OPR_004,INFO,ANALYTICS,166,68.6,17645,106.3,2814,mdb-2904
RTS_030,LOW,INTEROP,23,9.5,16804,730.6,8556,mdb-2904
STP_025,MEDIUM,QUALITY,44,18.2,16639,378.2,10142,mdb-992
CAL_012,INFO,ANALYTICS,41,16.9,11988,292.4,3800,mdb-2898
SHP_015,MEDIUM,QUALITY,24,9.9,11701,487.5,6909,mdb-2867
STP_017,LOW,QUALITY,127,52.5,11515,90.7,3136,mdb-1914
OPR_011,HIGH,ANALYTICS,12,5.0,11296,941.3,6523,mdb-992
STP_016,MEDIUM,QUALITY,73,30.2,11225,153.8,2404,mdb-2366
OPR_001,MEDIUM,ANALYTICS,142,58.7,10943,77.1,1541,mdb-2519
FRL_004,CRITICAL,SPEC,5,2.1,10890,2178.0,10073,mdb-992
FRL_003,CRITICAL,SPEC,5,2.1,10885,2177.0,10069,mdb-992
STM_014,HIGH,ANALYTICS,124,51.2,10603,85.5,3836,mdb-2519
SHP_024,MEDIUM,QUALITY,28,11.6,10404,371.6,3663,mdb-2027
OPR_005,INFO,ANALYTICS,151,62.4,10105,66.9,1876,mdb-2898
SHP_018,LOW,QUALITY,34,14.0,9317,274.0,6387,mdb-992
VAT_007,INFO,ANALYTICS,145,59.9,9171,63.2,1353,mdb-2904
JPN_009,MEDIUM,QUALITY,4,1.7,8477,2119.2,5600,mdb-3176
GEO_006,HIGH,ANALYTICS,21,8.7,8166,388.9,3859,mdb-2867
XFL_002,HIGH,INTEROP,7,2.9,7838,1119.7,6523,mdb-992
SHP_014,INFO,ANALYTICS,77,31.8,7273,94.5,1253,mdb-3355
STM_008,CRITICAL,INTEROP,5,2.1,7121,1424.2,6352,mdb-3166
CAL_014,LOW,QUALITY,34,14.0,6773,199.2,2189,mdb-2848
STM_001,CRITICAL,SPEC,3,1.2,6539,2179.7,6523,mdb-992
SHP_019,MEDIUM,QUALITY,4,1.7,6437,1609.2,6388,mdb-992
SHP_030,MEDIUM,QUALITY,5,2.1,6308,1261.6,6241,mdb-2519
SHP_028,HIGH,SPEC,9,3.7,5769,641.0,3075,mdb-3050
SHP_023,MEDIUM,QUALITY,38,15.7,5726,150.7,684,mdb-13
GEO_007,HIGH,ANALYTICS,14,5.8,5600,400.0,2553,mdb-3050
CAL_019,LOW,QUALITY,40,16.5,5570,139.2,1194,mdb-3230
TRF_012,CRITICAL,SPEC,1,0.4,5204,5204.0,5204,mdb-1859
TRF_016,CRITICAL,SPEC,1,0.4,5204,5204.0,5204,mdb-1859
CAL_023,MEDIUM,QUALITY,18,7.4,4336,240.9,2050,mdb-2904
RTS_026,INFO,QUALITY,70,28.9,4249,60.7,827,mdb-2519
RTS_022,LOW,QUALITY,38,15.7,4216,110.9,3075,mdb-3050
RTS_027,INFO,QUALITY,99,40.9,4104,41.5,1250,mdb-2867
FRQ_010,INFO,ANALYTICS,15,6.2,4033,268.9,954,mdb-2898
STP_019,LOW,QUALITY,5,2.1,3717,743.4,2313,mdb-1831
RTS_019,MEDIUM,QUALITY,40,16.5,3461,86.5,1922,mdb-2904
CAL_013,INFO,ANALYTICS,128,52.9,3296,25.8,1109,mdb-2904
GEO_009,HIGH,QUALITY,42,17.4,3072,73.1,1404,mdb-2366
SHP_029,INFO,QUALITY,24,9.9,2803,116.8,529,mdb-1088
STP_001,CRITICAL,SPEC,2,0.8,2753,1376.5,2733,mdb-1276
SHP_012,HIGH,ANALYTICS,49,20.2,2695,55.0,704,mdb-2922
CAL_009,CRITICAL,QUALITY,56,23.1,2611,46.6,660,mdb-7
ARC_011,INFO,ANALYTICS,240,99.2,2589,10.8,26,mdb-230
RTS_025,INFO,QUALITY,24,9.9,2516,104.8,668,mdb-1814
RTS_008,MEDIUM,QUALITY,73,30.2,2488,34.1,434,mdb-2933
GEO_016,HIGH,QUALITY,3,1.2,2411,803.7,2409,mdb-2904
STM_029,MEDIUM,ANALYTICS,11,4.5,2018,183.5,1795,mdb-7
RTS_012,MEDIUM,QUALITY,45,18.6,1948,43.3,668,mdb-1814
TRF_020,MEDIUM,QUALITY,9,3.7,1911,212.3,966,mdb-2848
DQ_019,MEDIUM,QUALITY,47,19.4,1786,38.0,360,mdb-2200
SHP_009,INFO,ANALYTICS,162,66.9,1649,10.2,48,mdb-1027
STM_028,HIGH,ANALYTICS,13,5.4,1645,126.5,839,mdb-2904
FRQ_007,MEDIUM,SPEC,1,0.4,1583,1583.0,1583,mdb-1830
SHP_017,INFO,ANALYTICS,58,24.0,1366,23.6,253,mdb-1292
TRF_022,HIGH,SPEC,1,0.4,1256,1256.0,1256,mdb-2898
TRP_005,MEDIUM,SPEC,2,0.8,1230,615.0,1204,mdb-1830
STM_048,HIGH,SPEC,2,0.8,1201,600.5,1195,mdb-1229
ARC_006,INFO,QUALITY,238,98.3,1174,4.9,14,mdb-13
TRF_019,MEDIUM,INTEROP,1,0.4,1158,1158.0,1158,mdb-2898
SHP_020,INFO,ANALYTICS,152,62.8,1152,7.6,50,mdb-13
TRF_023,HIGH,SPEC,1,0.4,1109,1109.0,1109,mdb-2898
RTS_011,LOW,QUALITY,25,10.3,1103,44.1,554,mdb-777
FAR_009,LOW,QUALITY,27,11.2,1091,40.4,513,mdb-992
XFL_012,HIGH,QUALITY,3,1.2,1048,349.3,1025,mdb-992
RTS_016,LOW,QUALITY,4,1.7,1036,259.0,1025,mdb-992
STM_047,CRITICAL,SPEC,1,0.4,1035,1035.0,1035,mdb-1120
STP_029,MEDIUM,QUALITY,23,9.5,1002,43.6,458,mdb-2898
RTS_021,LOW,QUALITY,10,4.1,895,89.5,668,mdb-1814
TRP_024,LOW,QUALITY,3,1.2,856,285.3,634,mdb-2898
OPR_010,MEDIUM,ANALYTICS,18,7.4,841,46.7,165,mdb-7
FRQ_005,CRITICAL,QUALITY,2,0.8,805,402.5,555,mdb-1831
ARC_017,INFO,QUALITY,77,31.8,800,10.4,39,mdb-3104
VAT_001,MEDIUM,ANALYTICS,82,33.9,787,9.6,222,mdb-2927
TRP_033,MEDIUM,QUALITY,3,1.2,784,261.3,624,mdb-2898
STP_031,INFO,QUALITY,15,6.2,689,45.9,382,mdb-1294
RTS_023,INFO,QUALITY,3,1.2,685,228.3,436,mdb-2898
STP_033,INFO,QUALITY,190,78.5,666,3.5,41,mdb-1828
OPR_003,LOW,ANALYTICS,44,18.2,643,14.6,278,mdb-3139
FRQ_006,MEDIUM,ANALYTICS,4,1.7,611,152.8,328,mdb-2933
FRQ_008,CRITICAL,SPEC,1,0.4,555,555.0,555,mdb-1831
RTS_010,LOW,QUALITY,21,8.7,521,24.8,299,mdb-2922
SHP_010,LOW,QUALITY,88,36.4,512,5.8,43,mdb-772
STM_043,INFO,ANALYTICS,4,1.7,493,123.2,343,mdb-3358
FRL_001,CRITICAL,SPEC,1,0.4,486,486.0,486,mdb-2837
AGN_015,INFO,QUALITY,89,36.8,482,5.4,207,mdb-2904
FRQ_012,LOW,SPEC,4,1.7,452,113.0,364,mdb-1914
OPR_020,LOW,ANALYTICS,32,13.2,409,12.8,135,mdb-2366
SHP_016,HIGH,QUALITY,37,15.3,407,11.0,72,mdb-1808
CAL_018,LOW,QUALITY,6,2.5,393,65.5,240,mdb-2519
STP_027,MEDIUM,QUALITY,2,0.8,335,167.5,232,mdb-2933
ARC_010,MEDIUM,QUALITY,41,16.9,322,7.9,12,mdb-1914
OPR_019,INFO,ANALYTICS,27,11.2,310,11.5,195,mdb-2519
FRQ_011,HIGH,SPEC,3,1.2,297,99.0,295,mdb-2366
GEO_002,HIGH,ANALYTICS,21,8.7,287,13.7,57,mdb-1292
SHP_026,INFO,ANALYTICS,15,6.2,267,17.8,120,mdb-1831
OPR_006,HIGH,ANALYTICS,3,1.2,266,88.7,264,mdb-1827
STM_033,HIGH,INTEROP,3,1.2,266,88.7,264,mdb-1827
JPN_008,MEDIUM,QUALITY,4,1.7,265,66.2,149,mdb-3175
STP_022,MEDIUM,QUALITY,160,66.1,235,1.5,27,mdb-912
GEO_013,INFO,ANALYTICS,231,95.5,231,1.0,1,PID_GTFS
SHP_022,HIGH,QUALITY,1,0.4,228,228.0,228,mdb-1229
ARC_007,INFO,QUALITY,52,21.5,225,4.3,10,mdb-1227
SHP_021,LOW,QUALITY,1,0.4,198,198.0,198,mdb-1276
STP_030,MEDIUM,QUALITY,7,2.9,195,27.9,69,mdb-1022
STP_038,INFO,QUALITY,181,74.8,181,1.0,1,ch-odv-flex
TRP_021,INFO,QUALITY,175,72.3,175,1.0,1,ch-odv-flex
TRP_029,INFO,QUALITY,164,67.8,164,1.0,1,ch-odv-flex
DQ_016,MEDIUM,QUALITY,88,36.4,154,1.8,10,mdb-992
AGN_003,CRITICAL,SPEC,11,4.5,154,14.0,116,mdb-2904
JPN_001,MEDIUM,QUALITY,3,1.2,153,51.0,149,mdb-3176
ARC_009,CRITICAL,QUALITY,46,19.0,152,3.3,7,mdb-230
RTS_005,MEDIUM,SPEC,2,0.8,151,75.5,139,mdb-892
OPR_015,INFO,ANALYTICS,4,1.7,132,33.0,86,mdb-3144
TRP_004,HIGH,SPEC,2,0.8,131,65.5,128,mdb-992
STM_017,MEDIUM,QUALITY,117,48.3,117,1.0,1,mdb-1021
LVL_006,MEDIUM,QUALITY,1,0.4,114,114.0,114,mdb-990
FAR_006,MEDIUM,SPEC,11,4.5,110,10.0,44,mdb-3175
OPR_024,INFO,ANALYTICS,19,7.9,106,5.6,39,mdb-648
TRP_022,HIGH,INTEROP,5,2.1,103,20.6,92,mdb-1860
ARC_020,LOW,QUALITY,102,42.1,102,1.0,1,mdb-1024
PDW_006,MEDIUM,ANALYTICS,7,2.9,91,13.0,39,ch-odv-flex
ATR_009,HIGH,SPEC,2,0.8,89,44.5,71,mdb-2374
ARC_024,MEDIUM,SPEC,10,4.1,86,8.6,13,mdb-862
ARC_014,MEDIUM,QUALITY,6,2.5,79,13.2,67,mdb-992
DQ_020,LOW,QUALITY,73,30.2,73,1.0,1,mdb-1027
CLD_007,INFO,ANALYTICS,72,29.8,72,1.0,1,PID_GTFS
ARC_022,LOW,QUALITY,51,21.1,68,1.3,3,mdb-2337
FIN_018,LOW,QUALITY,64,26.4,64,1.0,1,ch-odv-flex
TRP_023,LOW,QUALITY,63,26.0,63,1.0,1,mdb-1021
DQ_005,HIGH,QUALITY,60,24.8,60,1.0,1,mdb-1021
TRF_011,INFO,QUALITY,4,1.7,52,13.0,36,mdb-2898
TRP_011,HIGH,QUALITY,1,0.4,51,51.0,51,mdb-1914
CAL_017,LOW,QUALITY,2,0.8,50,25.0,48,mdb-3184
DQ_006,HIGH,QUALITY,44,18.2,44,1.0,1,ch-odv-flex
CLD_006,MEDIUM,QUALITY,43,17.8,43,1.0,1,PID_GTFS
STP_012,CRITICAL,SPEC,2,0.8,42,21.0,25,mdb-2519
TRP_019,HIGH,SPEC,4,1.7,40,10.0,28,mdb-3037
FAR_013,LOW,SPEC,38,15.7,38,1.0,1,PID_GTFS
XFL_011,MEDIUM,INTEROP,38,15.7,38,1.0,1,PID_GTFS
VAT_005,MEDIUM,ANALYTICS,35,14.5,35,1.0,1,PID_GTFS
RTS_004,CRITICAL,SPEC,2,0.8,34,17.0,30,mdb-1808
TRP_028,MEDIUM,QUALITY,32,13.2,32,1.0,1,mdb-1108
STP_037,MEDIUM,QUALITY,31,12.8,31,1.0,1,PID_GTFS
GEO_014,INFO,ANALYTICS,29,12.0,29,1.0,1,mdb-1029
DQ_010,INFO,QUALITY,29,12.0,29,1.0,1,mdb-1040
FIN_010,HIGH,ANALYTICS,28,11.6,28,1.0,1,mdb-1021
ARC_033,HIGH,SPEC,12,5.0,28,2.3,4,mdb-1120
AGN_007,LOW,QUALITY,4,1.7,28,7.0,25,mdb-2519
FIN_007,LOW,QUALITY,27,11.2,27,1.0,1,PID_GTFS
FRL_008,INFO,QUALITY,26,10.7,26,1.0,1,PID_GTFS
FRL_002,CRITICAL,SPEC,3,1.2,24,8.0,19,mdb-1919
STM_044,INFO,ANALYTICS,22,9.1,22,1.0,1,mdb-1027
CAL_016,INFO,QUALITY,21,8.7,21,1.0,1,mdb-1027
FIN_014,LOW,QUALITY,21,8.7,21,1.0,1,mdb-1212
VAT_006,INFO,ANALYTICS,15,6.2,21,1.4,2,mdb-1824
STP_009,CRITICAL,SPEC,1,0.4,21,21.0,21,mdb-2837
STM_050,LOW,QUALITY,19,7.9,19,1.0,1,mdb-1021
RTS_001,CRITICAL,SPEC,1,0.4,19,19.0,19,mdb-1840
AGN_006,LOW,SPEC,2,0.8,18,9.0,17,mdb-992
TRF_010,MEDIUM,ANALYTICS,3,1.2,18,6.0,8,mdb-2898
RTS_002,CRITICAL,SPEC,3,1.2,17,5.7,15,mdb-1808
FAR_010,MEDIUM,QUALITY,16,6.6,16,1.0,1,PID_GTFS
TRP_012,LOW,QUALITY,1,0.4,16,16.0,16,mdb-3175
FRQ_009,MEDIUM,QUALITY,2,0.8,16,8.0,14,mdb-3358
RTS_003,CRITICAL,SPEC,1,0.4,15,15.0,15,mdb-1808
PTH_012,HIGH,SPEC,1,0.4,15,15.0,15,mdb-2933
XFL_013,HIGH,QUALITY,14,5.8,14,1.0,1,PID_GTFS
FRL_006,INFO,QUALITY,14,5.8,14,1.0,1,mdb-1229
TRN_011,HIGH,SPEC,1,0.4,14,14.0,14,mdb-9
GEO_021,HIGH,ANALYTICS,12,5.0,12,1.0,1,mdb-1814
STM_059,LOW,QUALITY,2,0.8,11,5.5,7,mdb-3109
FIN_013,INFO,QUALITY,10,4.1,10,1.0,1,mdb-1023
FIN_017,INFO,QUALITY,10,4.1,10,1.0,1,mdb-1158
ARC_030,HIGH,SPEC,9,3.7,10,1.1,2,mdb-2925
RTS_020,INFO,QUALITY,2,0.8,10,5.0,9,mdb-3049
GEO_012,MEDIUM,ANALYTICS,8,3.3,9,1.1,2,mdb-1914
ARC_025,CRITICAL,SPEC,4,1.7,9,2.2,3,mdb-1158
CAL_020,LOW,QUALITY,9,3.7,9,1.0,1,mdb-1860
TRP_001,CRITICAL,SPEC,2,0.8,9,4.5,8,mdb-3139
TRN_007,LOW,QUALITY,8,3.3,8,1.0,1,mdb-1088
DQ_005c,?,?,8,3.3,8,1.0,1,mdb-1212
TRP_025,INFO,QUALITY,8,3.3,8,1.0,1,mdb-1901
ATR_001,HIGH,QUALITY,8,3.3,8,1.0,1,mdb-2337
PTH_009,LOW,QUALITY,6,2.5,6,1.0,1,PID_GTFS
PTH_025,LOW,QUALITY,6,2.5,6,1.0,1,PID_GTFS
FAR_005,CRITICAL,SPEC,1,0.4,6,6.0,6,mdb-2086
GEO_020,HIGH,QUALITY,2,0.8,5,2.5,4,PID_GTFS
LVL_004,LOW,QUALITY,3,1.2,5,1.7,2,PID_GTFS
TRN_016,MEDIUM,SPEC,5,2.1,5,1.0,1,mdb-1088
PTH_008,LOW,QUALITY,4,1.7,4,1.0,1,PID_GTFS
PTH_029,LOW,QUALITY,4,1.7,4,1.0,1,PID_GTFS
BKR_006,HIGH,SPEC,2,0.8,4,2.0,2,ch-odv-flex
LOC_006,MEDIUM,QUALITY,4,1.7,4,1.0,1,ch-odv-flex
ARC_004,CRITICAL,SPEC,4,1.7,4,1.0,1,mdb-1104
ARC_008,CRITICAL,SPEC,4,1.7,4,1.0,1,mdb-1104
STM_024,INFO,QUALITY,4,1.7,4,1.0,1,mdb-1840
FIN_002,CRITICAL,SPEC,4,1.7,4,1.0,1,mdb-1901
ARC_032,HIGH,SPEC,4,1.7,4,1.0,1,mdb-1924
LVL_003,LOW,QUALITY,1,0.4,4,4.0,4,mdb-2848
JPN_010,MEDIUM,QUALITY,4,1.7,4,1.0,1,mdb-2871
FIN_016,LOW,QUALITY,3,1.2,3,1.0,1,PID_GTFS
XFL_006,MEDIUM,ANALYTICS,3,1.2,3,1.0,1,mdb-1832
CAL_005,CRITICAL,INTEROP,2,0.8,3,1.5,2,mdb-2867
DQ_017,INFO,QUALITY,3,1.2,3,1.0,1,mdb-2904
AGN_008,LOW,SPEC,2,0.8,2,1.0,1,mdb-1246
ARC_021,LOW,QUALITY,2,0.8,2,1.0,1,mdb-1276
AGN_010,CRITICAL,SPEC,1,0.4,2,2.0,2,mdb-1831
AGN_004,CRITICAL,SPEC,1,0.4,2,2.0,2,mdb-2119
AGN_013,LOW,INTEROP,2,0.8,2,1.0,1,mdb-2119
ARC_031,CRITICAL,SPEC,2,0.8,2,1.0,1,mdb-2519
TRN_008,CRITICAL,SPEC,1,0.4,2,2.0,2,mdb-2519
FRL_005,CRITICAL,SPEC,1,0.4,2,2.0,2,mdb-2837
XFL_017,LOW,QUALITY,2,0.8,2,1.0,1,mdb-2867
STP_035,LOW,QUALITY,2,0.8,2,1.0,1,mdb-2875
PTH_007,MEDIUM,SPEC,1,0.4,2,2.0,2,mdb-2933
PTH_011,HIGH,QUALITY,1,0.4,2,2.0,2,mdb-2933
DQ_013,MEDIUM,QUALITY,2,0.8,2,1.0,1,mdb-2936
GEO_017,HIGH,QUALITY,1,0.4,2,2.0,2,mdb-3108
CAL_015,LOW,QUALITY,2,0.8,2,1.0,1,mdb-3134
TRP_003,CRITICAL,SPEC,1,0.4,2,2.0,2,mdb-992
FIN_005,MEDIUM,SPEC,1,0.4,1,1.0,1,mdb-1158
XFL_030,INFO,QUALITY,1,0.4,1,1.0,1,mdb-1246
RCT_006,MEDIUM,SPEC,1,0.4,1,1.0,1,mdb-13
TRP_017,MEDIUM,QUALITY,1,0.4,1,1.0,1,mdb-1830
CLD_004,HIGH,QUALITY,1,0.4,1,1.0,1,mdb-1832
STP_018,CRITICAL,SPEC,1,0.4,1,1.0,1,mdb-2018
AGN_005,MEDIUM,SPEC,1,0.4,1,1.0,1,mdb-2119
XFL_028,INFO,QUALITY,1,0.4,1,1.0,1,mdb-2143
SHP_008,CRITICAL,SPEC,1,0.4,1,1.0,1,mdb-2366
AGN_011,CRITICAL,SPEC,1,0.4,1,1.0,1,mdb-2519
DQ_011,LOW,QUALITY,1,0.4,1,1.0,1,mdb-2936
FIN_004,MEDIUM,SPEC,1,0.4,1,1.0,1,mdb-3155
FIN_008,LOW,SPEC,1,0.4,1,1.0,1,mdb-3155
JPN_004,HIGH,INTEROP,1,0.4,1,1.0,1,mdb-3185
FIN_015,MEDIUM,QUALITY,1,0.4,1,1.0,1,mdb-3235
STP_044,LOW,QUALITY,1,0.4,1,1.0,1,mdb-771
SHP_006,LOW,QUALITY,1,0.4,1,1.0,1,mdb-772
FIN_019,LOW,QUALITY,1,0.4,1,1.0,1,mdb-892
FIN_020,MEDIUM,QUALITY,1,0.4,1,1.0,1,mdb-892
AGN_017,LOW,INTEROP,1,0.4,1,1.0,1,mdb-992
DQ_005b,?,?,1,0.4,1,1.0,1,mdb-992
